,doc,Ingredient
1,1,にんじん
2,1,ピーマン
3,1,れんこん
4,1,豚肉
5,1,挽肉
6,1,おろし
7,1,コショウ
8,1,塩
9,1,たまねぎ
10,2,スライスチーズ
11,2,グリュイエルチーズ
12,2,白米
13,3,よもぎ
14,3,塩
15,3,米
16,3,熱湯
17,3,あんこ
18,3,小豆
19,4,牛乳
20,4,紅茶
21,4,熱湯
22,4,はちみつ
23,4,メープルシロップ
24,5,牛乳
25,5,生クリーム
26,5,グランマニエ
27,5,砂糖
28,5,グラニュー糖
29,5,バター
30,5,はちみつ
31,5,ココア
32,6,強力粉
33,6,小麦粉
34,6,卵
35,6,サラダオイル
36,6,塩
37,6,はちみつ
38,6,湯
39,7,もち米
40,7,小豆
41,7,塩
42,7,湯
43,7,パスタ
44,8,牛乳
45,8,生クリーム
46,8,紅茶
47,8,水
48,9,卵
49,9,卵黄
50,9,牛乳
51,9,生クリーム
52,9,ヨーグルト
53,9,レモン
54,9,砂糖
55,9,ゼラチン
56,9,寒天
57,9,ゼラチン
58,9,フルーツ
59,9,ブルーベリー
60,9,みかん
61,10,牛乳
62,10,紅茶
63,10,ウバ
64,11,鯖（さば）
65,11,しょうが
66,11,赤味噌
67,11,砂糖
68,11,醤油
69,11,だし汁
70,11,昆布
71,11,カツオ
72,11,出汁
73,12,白米
74,12,白米
75,12,押し麦
76,12,五穀
77,12,油揚げ
78,12,にんじん
79,12,しめじ
80,12,酒
81,12,塩
82,12,醤油
83,12,だし汁
84,13,片栗粉
85,13,水
86,13,豆腐
87,13,絹ごし
88,13,長ネギ
89,13,ナス
90,13,しょうが
91,13,ニンニク
92,13,酒
93,13,ソース
94,13,みそ
95,13,砂糖
96,13,醤油
97,13,ごま
98,13,あぶら
99,13,鷹の爪
100,13,鳥挽肉
101,13,トウバンジャン
102,13,ごま油
103,14,バゲット
104,14,フランスパン
105,14,卵
106,14,牛乳
107,14,生クリーム
108,14,コーヒー
109,14,シナモン
110,14,メープルシロップ
111,14,はちみつ
112,15,白米
113,15,トマト
114,15,塩
115,15,醤油
116,15,だし汁
117,16,スパゲッティ
118,16,水
119,16,キムチ
120,17,しいたけ
121,17,ナス
122,17,ニンニク
123,17,ピーマン
124,17,赤ワイン
125,17,醤油
126,17,ハーブ
127,17,バジル
128,17,オレガノ
129,17,玉ねぎ
130,17,コーン
131,18,山芋
132,18,梅干し
133,18,醤油
134,18,みりん
135,19,豆腐
136,19,にんじん
137,19,ごま
138,19,あぶら
139,19,醤油
140,20,牛乳
141,20,生クリーム
142,20,紅茶
143,20,砂糖
144,20,ゼラチン
145,20,水
146,20,ウィスキー
147,20,バニラエッセンス
148,21,ハム
149,21,卵
150,21,プチトマト
151,21,きゅうり
152,21,じゃがいも
153,21,たまねぎ
154,21,レタス
155,21,マヨネーズ
156,22,じゃがいも
157,22,オリーブオイル
158,22,ハーブ
159,22,バジル
160,22,ローズマリー
161,22,バター
162,23,鮭
163,23,キングサーモン
164,23,たまねぎ
165,23,しめじ
166,23,白ワイン
167,23,オリーブオイル
168,23,ハーブ
169,23,バジル
170,23,ローズマリー
171,23,バター
172,23,レモン
173,23,汁
174,23,魚
175,24,パン
176,24,えび
177,24,ハム
178,24,卵
179,24,卵黄
180,24,じゃがいも
