"Target_Sentences","Button_ID","Button_Label"
"にんじん","1","にんじん"
"ピーマン","2","そのまま"
"れんこん","2","そのまま"
"豚肉","2","そのまま"
"挽肉","2","そのまま"
"おろし","2","そのまま"
"コショウ","2","そのまま"
"塩","2","そのまま"
"たまねぎ","2","そのまま"
"スライスチーズ","2","そのまま"
"グリュイエルチーズ","2","そのまま"
"よもぎ","2","そのまま"
"塩","2","そのまま"
"熱湯","2","そのまま"
"あんこ","2","そのまま"
"小豆","2","そのまま"
"牛乳","2","そのまま"
"紅茶","2","そのまま"
"熱湯","2","そのまま"
"はちみつ","2","そのまま"
"メープルシロップ","2","そのまま"
"牛乳","2","そのまま"
"生クリーム","2","そのまま"
"グランマニエ","2","そのまま"
"砂糖","2","そのまま"
"白米","3","お米"
"米","3","お米"
"白米","3","お米"
"グラニュー糖","4","砂糖"
"鯖（さば）","5","鯖"
"赤味噌","6","味噌"
"醤油","7","しょうゆ"
"出汁","8","だし汁"
"バター","2","そのまま"
"はちみつ","",""
"ココア","",""
"強力粉","",""
"小麦粉","",""
"卵","",""
"サラダオイル","",""
"塩","",""
"はちみつ","",""
"湯","",""
"もち米","",""
"小豆","",""
"塩","",""
"湯","",""
"パスタ","",""
"牛乳","",""
"生クリーム","",""
"紅茶","",""
"水","",""
"卵","",""
"卵黄","",""
"牛乳","",""
"生クリーム","",""
"ヨーグルト","",""
"レモン","",""
"砂糖","",""
"ゼラチン","",""
"寒天","",""
"ゼラチン","",""
"フルーツ","",""
"ブルーベリー","",""
"みかん","",""
"牛乳","",""
"紅茶","",""
"ウバ","",""
"しょうが","",""
"砂糖","",""
"だし汁","",""
"昆布","",""
"カツオ","",""
"白米","",""
"押し麦","",""
"五穀","",""
"油揚げ","",""
"にんじん","",""
"しめじ","",""
"酒","",""
"塩","",""
"醤油","",""
"だし汁","",""
"片栗粉","",""
"水","",""
"豆腐","",""
"絹ごし","",""
"長ネギ","",""
"ナス","",""
"しょうが","",""
"ニンニク","",""
"酒","",""
"ソース","",""
"みそ","",""
"砂糖","",""
"醤油","",""
"ごま","",""
"あぶら","",""
"鷹の爪","",""
"鳥挽肉","",""
"トウバンジャン","",""
"ごま油","",""
"バゲット","",""
"フランスパン","",""
"卵","",""
"牛乳","",""
"生クリーム","",""
"コーヒー","",""
"シナモン","",""
"メープルシロップ","",""
"はちみつ","",""
"白米","",""
